Hybridization.REF,labels,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
TCGA-LN-A5U7,0,0,1.1399,1.1399,0,1.9949,0.285,0
TCGA-LN-A7HV,0,0,2.8783,0.4112,0,372.1217,0,2.4671
TCGA-LN-A7HW,0,0,1.3459,0.3365,4.0377,7.7389,0.3365,0
TCGA-LN-A7HX,0,0,0,8.1301,0.3011,9.3345,0.9033,0.3011
TCGA-LN-A7HY,0,0,14.128,0,0,0,0,2.2075
TCGA-LN-A7HZ,0,0,5.0251,21.3568,0,0.4188,0.4188,0.4188
TCGA-LN-A8HZ,0,0,2.6684,75.606,2.6684,1.186,0,0.8895
TCGA-LN-A8I0,0,0,12.6479,9.7919,0,7.7519,0.816,0
TCGA-LN-A8I1,0,0,4.3591,0.4843,10.1712,2.4217,0,144.8191
TCGA-LN-A9FO,0,3.3076,6.6152,11.5766,34.1786,13.2304,13.7817,4.9614
TCGA-LN-A9FP,0,0,2.6297,1.5027,0.3757,0,0,0
TCGA-LN-A9FQ,0,0,1.6525,1.6525,1.983,0,0.661,0.3305
TCGA-LN-A9FR,0,0,1.1703,0.2926,0,15.7987,0.8777,0
TCGA-M9-A5M8,0,0,1.2707,0.3177,1.2707,1.906,0,2.8591
TCGA-Q9-A6FU,0,0,0.6201,0.2067,0.4134,19.2228,0.6201,0
TCGA-Q9-A6FW,0,0,17.4492,6.0279,1.9036,1.269,0,0
TCGA-R6-A6DN,0,0,1.5385,0,9.5385,0.3077,0.3077,0.3077
TCGA-R6-A6DQ,0,0.3022,10.275,2.1154,28.4074,1.2088,0,7.8574
TCGA-R6-A6KZ,0,0.3609,2655.1164,0.3609,4062.0827,8.3018,0,19.4911
TCGA-R6-A6L4,0,0,10.7632,1.9569,3.9139,6.8493,0,0
TCGA-R6-A6L6,0,0,33.3634,0,17.1326,0,0,7.2137
TCGA-R6-A6XG,0,0,182.8313,0.3483,0,0.3483,0,0.3483
TCGA-R6-A6XQ,0,0,11.5154,16.1216,38.6918,0,0,6.9093
