Cancer,labels,Hybridization.REF,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
PACA-CA,0,PCSI_0208_Pa_P_526,0.478353,0,0.118358,1.46,0,0,0
PACA-CA,0,MPCC_0033_Pa_C,0,0,0,0.019314,0.0596,0.00460511,0
PACA-CA,0,MPCC_0026_Pa_C,0,0.31683,0.00743914,0,0,0.000748382,0.0165271
PACA-CA,0,MPCC_0003_Pa_C,0.0516858,0.365648,0,0,0.00654958,0,0.0960804
PACA-CA,0,MPCC_0001_Pa_C,0,0.99811,0,0,0,0.00233679,0.026214
PACA-CA,0,PCSI_0083_Pa_P_526,22.8839,0,0.163002,27.3402,0,0,0.287171
PACA-CA,0,MPCC_0012_Pa_C,0,0.223412,0,0,0,0,0.0242402
PACA-CA,0,MPCC_0032_Pa_C,0,0.991217,0,0,0.000549031,0,0
PACA-CA,0,PCSI_0046_Pa_P_526,0.971732,1.06643,0.0954446,2.40313,0.07262,0,0.0430811
PACA-CA,0,PCSI_0132_Pa_P_526,0,0,0,0.0122737,0,0,0
PACA-CA,0,MPCC_0038_Pa_C,0.00579403,0.107494,0.00626093,0.0181242,0.181322,0.0123043,0.0914829
PACA-CA,0,PCSI_0047_Pa_P_526,10.5381,0.748932,0.431525,5.34559,0.664812,0,0.0955054
PACA-CA,0,MPCC_0013_Pa_C,0.0194798,3.88331,0,0.00236602,0,0,0.0520912
PACA-CA,0,PCSI_0048_Pa_P_526,121.453,0.0295869,0,97.962,0.484581,0,0.0855861
PACA-CA,0,PCSI_0107_Pa_P_526,0,0,0,0.972506,0,0,0
PACA-CA,0,PCSI_0096_Pa_P_526,4.00091,0,1.96149,15.8975,0,0,0
PACA-CA,0,MPCC_0002_Pa_C,0,0,0,0,0.00772226,0,0.0393369
PACA-CA,0,PCSI_0108_Pa_P_526,7.56083,0,0,4.87498,0.00957152,0,0.20476
PACA-CA,0,MPCC_0021_Pa_C,0,0.904981,0,0,0.0024102,0.00374122,0.0350038
PACA-CA,0,MPCC_0018_Pa_C,0,0.296525,0,0,0,0,0.0652029
PACA-CA,0,MPCC_0030_Pa_C,0,7.26594,0.0186574,0,0.00249452,0,0.394659
PACA-CA,0,PCSI_0080_Pa_P_526,6.99728,0.165536,0.0361267,5.39174,0,0,0.286867
PACA-CA,0,MPCC_0016_Pa_C,0,43.3543,0.023927,0,0.0538998,0,0
PACA-CA,0,MPCC_0042_Pa_C,0,0.187636,0.0162196,0.0206132,0,0.00335582,0.08431
PACA-CA,0,MPCC_0027_Pa_C,0,0.351682,0,0.00342654,0,0,0.108024
PACA-CA,0,MPCC_0029_Pa_C,0,0.296979,0.00993219,0,0.00524,0.000862808,0
PACA-CA,0,PCSI_0169_Pa_P_526,1.13819,0,0,0.0287989,0,0,2.40714
PACA-CA,0,PCSI_0169_Pa_X_526,0,0.0184008,0.124904,0,0.0132492,0,0.306564
PACA-CA,0,PCSI_0343_Pa_P,12.6864,0.298922,0.0428517,7.96498,0,0,0.154295
PACA-CA,0,PCSI_0344_Pa_P_526,0,0.135165,0,0.421949,0.048793,0,0.110032
PACA-CA,0,PCSI_0358_Pa_P_526,2.40083,0.0550758,0,2.7927,0,0,0.0575223
PACA-CA,0,PCSI_0521_Pa_P_526,35.5435,0,0.0122804,2.60854,0,0,0.0354501
PACA-CA,0,PCSI_0529_Pa_P_526,2.77744,1.4561,0,0.862415,0,0,0
PACA-CA,0,PCSI_0339_Pa_P,0.0438658,0,0,0,0.126663,0,0
PACA-CA,0,PCSI_0613_Pa_P_526,4.09849,0.671277,0.206949,0.308194,0,0,0.436134
PACA-CA,0,PCSI_0612_Pa_P_526,2.80733,0,0,2.34914,0.428058,0,0
PACA-CA,0,PCSI_0623_Pa_P_526,3.00865,0,0.0589514,0.0273901,0,0,0
PACA-CA,0,PCSI_0624_Pa_P_526,24.1355,0,0.681888,5.68067,0.0925359,0,0.0689133
PACA-CA,0,PCSI_0624_Pa_X_526,0,0,0.113474,0,0,0,0.0808455
PACA-CA,0,PCSI_0625_Pa_P_526,4.78555,0,0,1.94224,0,0,0.039298
PACA-CA,0,PCSI_0890_Pa_P_526,0.310191,0.103215,0.248014,0.455595,0,0,1.5511
PACA-CA,0,PCSI_0626_Pa_P_526,2.5418,0.15756,0.452113,1.85149,0.152493,0,0
PACA-CA,0,PCSI_0530_Pa_P_526,35.5469,0.693503,0,21.9335,0.0654558,0,0.0233156
PACA-CA,0,PCSI_0588_Pa_P_526,1.6238,0.305913,0,8.06255,4.07315,0,4.39126
PACA-CA,0,PCSI_0591_Pa_P_526,16.0986,0,1.07409,14.4873,0.64233,0,0.0966146
PACA-CA,0,PCSI_0590_Pa_P_526,0,0,0,0,0,0,0
PACA-CA,0,PCSI_0590_Pa_X_526,0.0231404,0.046179,0.376398,0,0.0519672,0,0
PACA-CA,0,PCSI_0592_Pa_P_526,1.79266,0.0331011,0.0192515,1.77615,0,0,0.0139322
PACA-CA,0,PCSI_0592_Pa_X_526,0.197708,0,0.0501296,0.00774565,0.0246749,0,0
PACA-CA,0,PCSI_0593_Pa_P_526,2.54321,0,0.0301001,0.449753,0,0,0.0186396
