Hybridization.REF,labels,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
TCGA.DD.A73E.01A.12R.A32O.07,1,312.5348,314.2061,109.1922,200658.4958,0.5571,72.4234,536.4903
TCGA.DD.A73F.01A.11R.A32O.07,1,13097.2214,116283.4911,6541.0975,352072.0226,9716.914,1288.3584,13543.4429
TCGA.DD.A73G.01A.22R.A32O.07,1,10573.2113,611780.3661,1544.0932,522672.213,4.9917,943.4276,21757.9035
TCGA.DD.AA3A.01A.11R.A37K.07,1,3036.3165,3975.3567,162.1271,5552.5292,144.6174,55.1232,639.4293
TCGA.DD.AAC8.01A.11R.A41C.07,1,43244.815,3021.7208,139.1132,383241.4227,99.2037,42.1901,14474.0424
TCGA.DD.AAC9.01A.11R.A41C.07,1,94190.9185,177165.1187,16898.8648,1037753.354,41017.5439,8776.0578,58310.6295
TCGA.DD.AACA.01A.11R.A41C.07,1,3879.3423,101195.2521,2022.4328,74832.1899,28.7488,140.2592,356.7462
TCGA.DD.AACA.02B.11R.A41C.07,1,313.3095,386093.006,4178.1177,124205.7481,21.2162,50.8203,10.3614
TCGA.DD.AACB.01A.11R.A41C.07,1,50738.8724,66731.9486,3588.5262,76855.5885,923.8378,65.2819,3295.7468
TCGA.DD.AACC.01A.11R.A41C.07,1,33589.169,760979.4585,9459.3838,247148.4594,6972.9225,1641.4566,43624.6499
TCGA.DD.AACD.01A.11R.A41C.07,1,47915.4245,683648.4868,2283.4152,738996.9357,30128.2217,2643.2449,58948.8202
